RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
247035,201596236,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/24/2015 04:48:00 PM,03/23/2015 05:00:00 PM,03/24/2015 08:00:00 AM,73XX BLOCK OF 24 AV NE,U,U1,2500.2001,-122.30181066,47.682137701,"(47.682137701, -122.30181066)",3,2015
357749,201595985,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/24/2015 01:48:00 PM,03/24/2015 01:48:00 PM,,19XX BLOCK OF BOREN AV,D,D3,7300.2014,-122.333368025,47.617329288,"(47.617329288, -122.333368025)",3,2015
263983,201595926,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/24/2015 12:50:00 PM,03/23/2015 09:45:00 PM,03/24/2015 10:40:00 AM,42XX BLOCK OF S OTHELLO ST,S,S2,11101.2015,-122.280060283,47.537050786,"(47.537050786, -122.280060283)",3,2015
218669,201595664,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,03/24/2015 09:23:00 AM,03/23/2015 11:00:00 AM,03/24/2015 09:20:00 AM,67XX BLOCK OF 10 AV NW,J,J2,3300.1004,-122.369814854,47.678661942,"(47.678661942, -122.369814854)",3,2015
218667,201595586,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/24/2015 07:58:00 AM,03/23/2015 08:30:00 PM,03/24/2015 07:30:00 AM,NE RAVENNA BV / 15 AV NE,U,U1,4400.2022,-122.311901965,47.671204134,"(47.671204134, -122.311901965)",3,2015
226929,201595523,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/24/2015 07:03:00 AM,03/23/2015 06:45:00 PM,03/24/2015 06:50:00 AM,22XX BLOCK OF NW 59 ST,B,B1,4700.4002,-122.386164453,47.671642511,"(47.671642511, -122.386164453)",3,2015
477159,201595523,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/24/2015 07:03:00 AM,03/23/2015 06:45:00 PM,03/24/2015 06:50:00 AM,22XX BLOCK OF NW 59 ST,B,B1,4700.4002,-122.386164453,47.671642511,"(47.671642511, -122.386164453)",3,2015
332314,201595249,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/23/2015 09:40:00 PM,03/23/2015 08:00:00 PM,,95XX BLOCK OF DENSMORE AV N,N,N3,1300.1021,-122.337636532,47.698690344,"(47.698690344, -122.337636532)",3,2015
243270,201595157,2404,4,VEH-THEFT-MTRCYCLE,2400,VEHICLE THEFT,03/23/2015 07:53:00 PM,03/22/2015 11:30:00 AM,03/23/2015 07:30:00 PM,75XX BLOCK OF 24 AV NW,J,J2,3100.3004,-122.387571823,47.684077644,"(47.684077644, -122.387571823)",3,2015
262790,201595086,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/23/2015 06:06:00 PM,03/22/2015 07:35:00 PM,03/23/2015 07:00:00 AM,11XX BLOCK OF NW MARKET ST,B,B2,4700.1015,-122.372174054,47.668663652,"(47.668663652, -122.372174054)",3,2015
523141,201594976,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/23/2015 04:16:00 PM,03/23/2015 07:00:00 AM,03/23/2015 12:50:00 PM,MELROSE AV / E PINE ST,E,E1,8400.3004,-122.327906956,47.615236626,"(47.615236626, -122.327906956)",3,2015
310361,201594774,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,03/23/2015 01:37:00 PM,03/23/2015 05:00:00 AM,03/23/2015 01:00:00 PM,6 AV / CHERRY ST,K,K1,8500.1010,-122.328736482,47.60487465,"(47.60487465, -122.328736482)",3,2015
338038,201594707,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/23/2015 12:49:00 PM,03/18/2015 03:20:00 PM,,37XX BLOCK OF RAINIER AV S,R,R2,10100.4004,-122.29197054,47.570390622,"(47.570390622, -122.29197054)",3,2015
212394,201594631,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/23/2015 12:46:00 PM,03/23/2015 12:01:00 AM,03/23/2015 11:00:00 AM,36XX BLOCK OF SW OTHELLO ST,W,W3,11600.1012,-122.380160057,47.536860608,"(47.536860608, -122.380160057)",3,2015
473213,201594695,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/23/2015 12:28:00 PM,03/23/2015 11:45:00 AM,03/23/2015 12:30:00 PM,116XX BLOCK OF AURORA AV N,N,N2,600.3007,-122.344834271,47.713547978,"(47.713547978, -122.344834271)",3,2015
477161,201594615,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/23/2015 11:04:00 AM,03/22/2015 11:30:00 PM,03/23/2015 09:30:00 AM,XX BLOCK OF ETRURIA ST,Q,Q2,6000.4017,-122.356091567,47.647773789,"(47.647773789, -122.356091567)",3,2015
241126,201594602,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/23/2015 10:57:00 AM,03/22/2015 05:00:00 PM,03/23/2015 10:30:00 AM,140XX BLOCK OF 15 AV NE,L,L1,200.3000,-122.312711868,47.731212886,"(47.731212886, -122.312711868)",3,2015
507783,201594602,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/23/2015 10:57:00 AM,03/22/2015 05:00:00 PM,03/23/2015 10:30:00 AM,140XX BLOCK OF 15 AV NE,L,L1,200.3000,-122.312711868,47.731212886,"(47.731212886, -122.312711868)",3,2015
261764,201594443,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/23/2015 08:21:00 AM,03/22/2015 06:00:00 PM,03/22/2015 07:45:00 AM,3XX BLOCK OF NE 82 ST,L,L2,2700.2004,-122.324982662,47.688258248,"(47.688258248, -122.324982662)",3,2015
241347,201594427,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/23/2015 08:02:00 AM,03/22/2015 06:00:00 PM,03/23/2015 07:50:00 AM,65XX BLOCK OF 51 AV NE,U,U3,4000.2012,-122.272908431,47.676617106,"(47.676617106, -122.272908431)",3,2015
212390,201594246,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,03/23/2015 01:29:00 AM,03/23/2015 01:29:00 AM,,N 85 ST / AURORA AV N,N,N3,1800.2010,-122.34452323,47.690562432,"(47.690562432, -122.34452323)",3,2015
286708,201593850,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 03:56:00 PM,03/22/2015 03:15:00 PM,03/22/2015 03:30:00 PM,9XX BLOCK OF NW 45 ST,B,B2,4700.2075,-122.369692499,47.661468177,"(47.661468177, -122.369692499)",3,2015
555885,201593850,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 03:56:00 PM,03/22/2015 03:15:00 PM,03/22/2015 03:30:00 PM,9XX BLOCK OF NW 45 ST,B,B2,4700.2075,-122.369692499,47.661468177,"(47.661468177, -122.369692499)",3,2015
241349,201593850,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 03:56:00 PM,03/22/2015 03:15:00 PM,03/22/2015 03:30:00 PM,9XX BLOCK OF NW 45 ST,B,B2,4700.2075,-122.369692499,47.661468177,"(47.661468177, -122.369692499)",3,2015
241348,201593780,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 02:27:00 PM,03/21/2015 10:00:00 PM,03/22/2015 12:00:00 PM,60XX BLOCK OF 29 AV NE,U,U3,4301.2008,-122.296421396,47.673050949,"(47.673050949, -122.296421396)",3,2015
454644,201593780,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 02:27:00 PM,03/21/2015 10:00:00 PM,03/22/2015 12:00:00 PM,60XX BLOCK OF 29 AV NE,U,U3,4301.2008,-122.296421396,47.673050949,"(47.673050949, -122.296421396)",3,2015
254458,201593780,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 02:27:00 PM,03/21/2015 10:00:00 PM,03/22/2015 12:00:00 PM,60XX BLOCK OF 29 AV NE,U,U3,4301.2008,-122.296421396,47.673050949,"(47.673050949, -122.296421396)",3,2015
475851,201593763,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 01:55:00 PM,03/21/2015 10:00:00 PM,03/22/2015 01:00:00 PM,68XX BLOCK OF 16 AV NE,U,U1,2600.3004,-122.310913681,47.678505867,"(47.678505867, -122.310913681)",3,2015
212405,201593733,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 01:07:00 PM,03/21/2015 07:00:00 PM,03/22/2015 12:00:00 PM,125XX BLOCK OF EVANSTON AV N,N,N1,402.1012,-122.351620465,47.720499408,"(47.720499408, -122.351620465)",3,2015
212409,201593710,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,03/22/2015 12:41:00 PM,03/21/2015 11:00:00 AM,03/22/2015 07:00:00 AM,110XX BLOCK OF 1 AV NE,L,L2,1200.4002,-122.328626195,47.709296295,"(47.709296295, -122.328626195)",3,2015
212957,201593688,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 12:39:00 PM,03/21/2015 10:00:00 PM,03/22/2015 09:00:00 AM,41XX BLOCK OF 20 AV SW,F,F1,9900.2006,-122.359028018,47.565701632,"(47.565701632, -122.359028018)",3,2015
212411,201593648,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 11:57:00 AM,03/22/2015 01:30:00 AM,03/22/2015 07:00:00 AM,95XX BLOCK OF RAINIER AV S,S,S3,11800.2000,-122.258918126,47.520019793,"(47.520019793, -122.258918126)",3,2015
212412,201593343,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,03/22/2015 03:48:00 AM,03/22/2015 03:48:00 AM,,36XX BLOCK OF SW OTHELLO ST,W,W3,11600.1012,-122.380160057,47.536860608,"(47.536860608, -122.380160057)",3,2015
378074,201593316,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 02:45:00 AM,03/21/2015 03:23:00 PM,03/22/2015 02:30:00 AM,23XX BLOCK OF 1 AV,D,D1,8001.2004,-122.347163622,47.61375921,"(47.61375921, -122.347163622)",3,2015
399771,201593316,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/22/2015 02:45:00 AM,03/21/2015 03:23:00 PM,03/22/2015 02:30:00 AM,23XX BLOCK OF 1 AV,D,D1,8001.2004,-122.347163622,47.61375921,"(47.61375921, -122.347163622)",3,2015
212415,201593157,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/21/2015 11:39:00 PM,03/21/2015 11:35:00 PM,03/21/2015 11:39:00 PM,11XX BLOCK OF S DAWSON ST,O,O3,9300.3215,-122.317996038,47.555625732,"(47.555625732, -122.317996038)",3,2015
212416,201593154,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/21/2015 11:24:00 PM,03/20/2015 08:30:00 AM,03/21/2015 03:00:00 PM,10 AV E / E LYNN ST,C,C1,6500.1004,-122.3200654,47.639545721,"(47.639545721, -122.3200654)",3,2015
341272,201592945,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/21/2015 07:38:00 PM,03/21/2015 02:00:00 PM,03/21/2015 06:00:00 PM,46XX BLOCK OF UTAH AV S,O,O2,9300.3197,-122.335503576,47.561273735,"(47.561273735, -122.335503576)",3,2015
201510,201592898,2404,4,VEH-THEFT-MTRCYCLE,2400,VEHICLE THEFT,03/21/2015 06:38:00 PM,03/18/2015 07:00:00 AM,03/21/2015 03:00:00 PM,JAMES ST / 6 AV,K,K1,8500.1010,-122.328079399,47.604159395,"(47.604159395, -122.328079399)",3,2015
201488,201592806,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/21/2015 04:56:00 PM,03/20/2015 07:00:00 PM,03/21/2015 04:30:00 PM,84XX BLOCK OF 26 AV SW,F,F2,11401.2004,-122.365861376,47.527380407,"(47.527380407, -122.365861376)",3,2015
358766,201592665,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/21/2015 02:37:00 PM,03/21/2015 11:00:00 AM,03/21/2015 02:30:00 PM,47XX BLOCK OF 9 AV NE,U,U2,5200.5007,-122.318392641,47.663565904,"(47.663565904, -122.318392641)",3,2015
211865,201592605,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/21/2015 01:42:00 PM,03/20/2015 07:30:00 AM,03/20/2015 02:00:00 PM,57XX BLOCK OF 27 AV NE,U,U3,4301.2005,-122.298522461,47.671068573,"(47.671068573, -122.298522461)",3,2015
